"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.867392440E-1,-3.321600199E0,-1.841105938E0,-1.770558357E-1,3.801847935E0
3.892340450E-1,-2.949277163E0,-1.402288914E0,-4.197225571E-1,3.292539598E0
3.917290430E-1,-2.676685095E0,-8.364057541E-1,-4.096360207E-1,2.834081748E0
3.942238910E-1,-2.850736380E0,-2.794599533E-1,1.084012985E-1,2.866451921E0
3.967186600E-1,-3.170082569E0,2.532100677E-1,5.438814163E-1,3.226351783E0
3.992136580E-1,-3.380127668E0,5.538058281E-1,9.116759300E-1,3.544448751E0
4.017084150E-1,-3.454738617E0,6.705660820E-1,9.232282639E-1,3.638300181E0
4.042032600E-1,-3.185453892E0,5.318236351E-1,7.164421082E-1,3.308057159E0
4.066982600E-1,-2.767677784E0,4.195833206E-1,3.302578926E-1,2.818716154E0
4.091930310E-1,-2.290791988E0,4.682869911E-1,-2.903833389E-1,2.356128843E0
4.116878750E-1,-2.015014410E0,9.154386520E-1,-1.040392876E0,2.445552767E0
4.141826360E-1,-1.759376049E0,1.337340832E0,-1.318818092E0,2.573551193E0
4.166776340E-1,-1.282653570E0,1.421181202E0,-1.320870399E0,2.325866463E0
4.191724820E-1,-5.999550819E-1,1.314364433E0,-1.219876289E0,1.890925203E0
4.216672520E-1,2.048747540E-1,9.813103676E-1,-9.734630585E-1,1.397345350E0
4.241622400E-1,1.065053463E0,5.279593468E-1,-7.225985527E-1,1.391124947E0
4.266570880E-1,1.866003275E0,-1.373291016E-4,-5.139951706E-1,1.935499748E0
4.291518570E-1,2.584146738E0,-4.870781898E-1,-4.169898033E-1,2.662506342E0
4.316468550E-1,3.224765778E0,-8.595666885E-1,-4.165911674E-1,3.363259938E0
4.341416260E-1,3.917368889E0,-1.148964405E0,-4.323811531E-1,4.105222488E0
4.366364800E-1,4.329757690E0,-1.315046310E0,-5.463085175E-1,4.557916350E0
4.391314800E-1,4.269935608E0,-1.388429642E0,-5.899119377E-1,4.528585106E0
4.416262520E-1,4.000960350E0,-1.443146229E0,-5.034117699E-1,4.282963713E0
4.441210960E-1,3.763611794E0,-1.494650364E0,-3.152804375E-1,4.061792116E0
4.466158670E-1,3.526468992E0,-1.492585182E0,-1.280612946E-1,3.831474099E0
4.491108600E-1,3.171070814E0,-1.457988739E0,2.284049988E-3,3.490190036E0
4.516057080E-1,2.683418036E0,-1.293824673E0,1.985373497E-1,2.985654320E0
4.541004780E-1,2.176708698E0,-1.088879585E0,4.042482376E-1,2.467212222E0
4.565954760E-1,1.721214294E0,-8.639712334E-1,5.784316063E-1,2.010872463E0
4.590902470E-1,1.348647594E0,-7.335524559E-1,6.775403023E-1,1.678097256E0
4.615850870E-1,1.029631376E0,-6.678199768E-1,7.376990318E-1,1.431895301E0
4.640800870E-1,8.277964592E-1,-6.977214813E-1,7.017965317E-1,1.290186272E0
4.665748580E-1,6.100618839E-1,-8.047370911E-1,6.829404831E-1,1.219091872E0
4.690697020E-1,3.843708038E-1,-9.246635437E-1,6.822981834E-1,1.211723729E0
4.715646870E-1,1.762881279E-1,-9.941658974E-1,6.735582352E-1,1.213723210E0
4.740594590E-1,-4.314112663E-2,-1.062936783E0,6.777758598E-1,1.261378562E0
4.765543030E-1,-2.476227283E-1,-1.065968990E0,7.821536064E-1,1.345128681E0
4.790490740E-1,-4.570367336E-1,-1.036415577E0,8.909993172E-1,1.441152180E0
4.815440720E-1,-6.196148396E-1,-9.649653435E-1,9.685306549E-1,1.501043735E0
4.840389150E-1,-7.291400433E-1,-8.751206398E-1,1.002125263E0,1.517147448E0
4.865336840E-1,-7.888391018E-1,-7.751016617E-1,9.355378151E-1,1.448544344E0
4.890286820E-1,-8.351454735E-1,-6.994657516E-1,8.758754730E-1,1.397811913E0
4.915234540E-1,-8.001098633E-1,-6.185283661E-1,8.382244110E-1,1.313534657E0
4.940182980E-1,-7.560744286E-1,-6.052193642E-1,8.070774078E-1,1.260679564E0
4.965133320E-1,-6.771779060E-1,-5.867762566E-1,7.020463943E-1,1.138308144E0
4.990081030E-1,-5.998346806E-1,-5.837397575E-1,6.353259087E-1,1.050805766E0
5.015029470E-1,-4.717152119E-1,-5.793051720E-1,5.103673935E-1,9.047566522E-1
5.039977180E-1,-3.736035824E-1,-5.858998299E-1,4.166841507E-1,8.102369585E-1
5.064927160E-1,-2.714924812E-1,-5.636568069E-1,3.171229362E-1,7.014157969E-1
5.089875600E-1,-1.629722118E-1,-5.441799164E-1,2.238283157E-1,6.105659982E-1
5.114823290E-1,-4.035735130E-2,-5.034885406E-1,1.388783455E-1,5.238478989E-1
5.139773270E-1,5.681562424E-2,-4.655394554E-1,3.769159317E-2,4.705057448E-1
5.164720980E-1,2.389082909E-1,-4.137544632E-1,-5.515861511E-2,4.809494777E-1
5.189669420E-1,3.890106678E-1,-3.858456612E-1,-1.342005730E-1,5.641063443E-1
5.214619570E-1,5.665798187E-1,-3.535909653E-1,-2.692241669E-1,7.200839630E-1
5.239567280E-1,6.957883835E-1,-3.065762520E-1,-3.948483467E-1,8.567471563E-1
5.264515730E-1,8.389914036E-1,-2.636208534E-1,-5.192112923E-1,1.021265340E0
5.289465730E-1,9.732244015E-1,-2.148351669E-1,-6.350030899E-1,1.181756662E0
5.314413440E-1,1.028602362E0,-1.857681274E-1,-7.419114113E-1,1.281782024E0
5.339362020E-1,1.094288826E0,-1.430392265E-1,-9.017028809E-1,1.425130289E0
5.364309730E-1,1.112630606E0,-1.086483002E-1,-1.011413097E0,1.507550255E0
5.389259710E-1,1.263556719E0,-3.965578079E-1,-1.183062077E0,1.775801102E0
5.414208190E-1,1.709800243E0,-9.263978004E-1,-1.851085186E0,2.684799084E0
5.439155990E-1,1.686104059E0,-6.632380486E-1,-1.821014881E0,2.568837637E0
5.464105970E-1,1.839947224E0,-5.923037529E-1,-1.425608635E0,2.401788813E0
5.489053680E-1,1.743020773E0,-2.284312248E-1,-1.282219887E0,2.175865363E0
5.514002120E-1,1.536109924E0,1.867613792E-1,-1.369648933E0,2.066507129E0
5.538952120E-1,1.713394165E0,4.289484024E-2,-1.607629299E0,2.349900316E0
5.563899730E-1,1.752415657E0,5.731105804E-2,-2.184266567E0,2.800940133E0
5.588848170E-1,1.170175791E0,5.656218529E-1,-1.986952305E0,2.374282823E0
5.613795890E-1,8.770713806E-1,8.493499756E-1,-1.757975101E0,2.140356523E0
5.638745870E-1,1.133827448E0,6.817798615E-1,-1.882402897E0,2.300832268E0
5.663694350E-1,1.501831293E0,4.174585342E-1,-2.454509258E0,2.907642440E0
5.688642090E-1,1.086234570E0,7.176623344E-1,-2.583528996E0,2.893020366E0
5.713592070E-1,8.384461403E-1,9.529953003E-1,-2.408244133E0,2.722284294E0
5.738539780E-1,8.819453716E-1,1.051313400E0,-2.432719231E0,2.793064689E0
5.763488220E-1,1.060459375E0,1.069100380E0,-2.473325253E0,2.895667024E0
5.788438310E-1,1.211640835E0,1.115598202E0,-2.366743088E0,2.883419100E0
5.813386030E-1,1.312458515E0,1.162958145E0,-2.176673889E0,2.795161573E0
5.838334470E-1,1.370819569E0,1.186525822E0,-1.978499413E0,2.683551703E0
