"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.775760570E-1,6.490113735E-1,-1.171730042E0,-2.012443542E-1,1.354498558E0
3.800711340E-1,6.446120739E-1,-9.540348053E-1,-7.569694519E-2,1.153879180E0
3.825662110E-1,7.472933531E-1,-8.775272369E-1,2.138919830E-1,1.172284602E0
3.850613650E-1,6.945303679E-1,-6.763367653E-1,1.333703995E-1,9.785660506E-1
3.875563470E-1,7.324648499E-1,-6.860952377E-1,-4.482269287E-2,1.004609628E0
3.900514990E-1,6.296294928E-1,-4.974913597E-1,-5.558681488E-2,8.043760595E-1
3.925465010E-1,4.553745985E-1,-2.518322468E-1,3.555583954E-2,5.215838602E-1
3.950415760E-1,2.300972790E-1,4.537010193E-2,2.103338242E-1,3.150293979E-1
3.975366530E-1,1.505653560E-2,3.540513515E-1,5.284681320E-1,6.362842332E-1
4.000317210E-1,-4.288128316E-1,1.069835663E0,1.013941765E0,1.535091754E0
4.025267980E-1,-7.180663943E-1,1.308188200E0,1.485205650E0,2.105424313E0
4.050218750E-1,-7.061242461E-1,1.304672003E0,1.936631203E0,2.439532927E0
4.075169520E-1,-4.949918985E-1,1.210596800E0,2.837697983E0,3.124594603E0
4.100120290E-1,-6.454750896E-2,1.161334991E0,4.093510628E0,4.255548684E0
4.125071350E-1,5.252493620E-1,7.756402493E-1,5.142354012E0,5.226979000E0
4.150022120E-1,1.075496793E0,3.838479519E-1,5.551882744E0,5.668106792E0
4.174972890E-1,1.267154098E0,7.031035423E-2,5.262809753E0,5.413666923E0
4.199923660E-1,1.593034506E0,-1.935791969E-2,5.239165306E0,5.476037506E0
4.224874430E-1,1.785434961E0,-2.538363934E-1,4.462818146E0,4.813414247E0
4.249825200E-1,1.908669114E0,-3.870532513E-1,3.827677727E0,4.294641404E0
4.274775970E-1,1.842612028E0,-5.321214199E-1,3.355390549E0,3.864843855E0
4.299726740E-1,1.699949861E0,-5.683891773E-1,2.656592369E0,3.204743172E0
4.324677510E-1,1.571365118E0,-5.341610909E-1,2.287045479E0,2.825790761E0
4.349628320E-1,1.547447443E0,-4.398200512E-1,1.967318535E0,2.541333800E0
4.374579090E-1,1.519089937E0,-3.804683685E-1,1.645704269E0,2.271724666E0
4.399529860E-1,1.508253574E0,-3.086328506E-1,1.478255272E0,2.134319969E0
4.424480630E-1,1.318641663E0,-2.493727207E-1,1.367710114E0,1.916150710E0
4.449431360E-1,1.158846498E0,-1.499903202E-1,1.223541260E0,1.691885196E0
4.474382130E-1,9.608448744E-1,-9.396672249E-2,1.225153923E0,1.559825231E0
4.499330600E-1,8.692041039E-1,-3.336739540E-2,1.419804573E0,1.665074828E0
4.524281340E-1,7.079658508E-1,-4.044151306E-2,1.474292755E0,1.635967692E0
4.549232110E-1,6.377875209E-1,-5.899453163E-2,1.491640091E0,1.623343290E0
4.574182780E-1,5.436307192E-1,-1.038775444E-1,1.384080887E0,1.490639059E0
4.599133550E-1,4.389218390E-1,-2.175941467E-1,1.138813019E0,1.239715566E0
4.624084320E-1,2.680406868E-1,-3.736457825E-1,9.460287094E-1,1.051868480E0
4.649035090E-1,1.498585939E-2,-3.861942291E-1,1.246896744E0,1.305420257E0
4.673988170E-1,-5.684387684E-2,-2.633283138E-1,1.233811378E0,1.262879070E0
4.698936650E-1,-1.528438926E-1,-2.804284096E-1,1.269810677E0,1.309358814E0
4.723889710E-1,-2.114775181E-1,-2.904946804E-1,1.396320343E0,1.441811500E0
4.748840500E-1,-2.158159614E-1,-3.686621189E-1,1.513346672E0,1.572484161E0
4.773788960E-1,-1.816201210E-1,-4.791071415E-1,1.749737740E0,1.823214655E0
4.798739710E-1,-1.403561234E-1,-5.664074421E-1,1.825942993E0,1.916920720E0
4.823690620E-1,-3.544324636E-2,-5.527062416E-1,1.837277412E0,1.918939474E0
4.848641390E-1,3.431117535E-2,-4.889547825E-1,1.705750465E0,1.774778489E0
4.873592150E-1,9.487417340E-2,-4.075763226E-1,1.427839279E0,1.487899383E0
4.898542920E-1,1.733440459E-1,-2.998728752E-1,1.151153564E0,1.202134114E0
4.923493690E-1,2.683553100E-1,-2.004311085E-1,8.805065155E-1,9.420609988E-1
4.948444460E-1,3.591650724E-1,-1.867921352E-1,6.226301193E-1,7.426702610E-1
4.973395230E-1,4.748732746E-1,-2.171893120E-1,3.794765472E-1,6.455062153E-1
4.998346000E-1,6.232285500E-1,-2.409684658E-1,9.975814819E-2,6.755970065E-1
5.023296770E-1,5.165673494E-1,-5.893318653E-1,-1.810388565E-1,8.043189302E-1
5.048247200E-1,2.013981342E-1,-1.064756155E0,-1.131269932E0,1.566537116E0
5.073197970E-1,4.331958294E-2,-1.174359560E0,-7.349338531E-1,1.386046439E0
5.098148740E-1,-1.314084232E-1,-1.136954546E0,-4.578552246E-1,1.232706461E0
5.123099510E-1,-2.979502678E-1,-1.041408777E0,-1.741390228E-1,1.097101182E0
5.148050280E-1,-4.889098406E-1,-8.570113182E-1,-5.838394165E-3,9.866789339E-1
5.173000770E-1,-6.354559064E-1,-6.360502243E-1,1.139907837E-1,9.062880312E-1
5.197951540E-1,-7.244769931E-1,-4.639556408E-1,2.351741791E-1,8.918680646E-1
5.222902310E-1,-7.543277740E-1,-3.103141785E-1,2.823781967E-1,8.631585753E-1
